ID: tud1100  COLLEGE: itb  SURNAME: Aburto  	FIRSTNAME: Anjelica 
ID: tud1205  COLLEGE: dit  SURNAME: Brion   	FIRSTNAME: Rosario 
ID: tud1206  COLLEGE: dit  SURNAME: Brion   	FIRSTNAME: Rosario 
ID: tud1207  COLLEGE: dit  SURNAME: Brion   	FIRSTNAME: Rosario 
ID: tud1208  COLLEGE: dit  SURNAME: Brion   	FIRSTNAME: Rosario 
ID: tud1209  COLLEGE: dit  SURNAME: Brion   	FIRSTNAME: Rosario 
ID: tud1210  COLLEGE: dit  SURNAME: Britto  	FIRSTNAME: Jayna 
ID: tud1211  COLLEGE: dit  SURNAME: Britto  	FIRSTNAME: Jayna 
ID: tud1212  COLLEGE: dit  SURNAME: Britto  	FIRSTNAME: Jayna 
ID: tud1213  COLLEGE: dit  SURNAME: Britto  	FIRSTNAME: Jayna 
ID: tud1214  COLLEGE: dit  SURNAME: Britto  	FIRSTNAME: Jayna 
ID: tud1215  COLLEGE: dit  SURNAME: Bruen   	FIRSTNAME: Michelina 
ID: tud1216  COLLEGE: dit  SURNAME: Bruen   	FIRSTNAME: Michelina 
ID: tud1217  COLLEGE: dit  SURNAME: Bruen   	FIRSTNAME: Michelina 
ID: tud1218  COLLEGE: dit  SURNAME: Bruen   	FIRSTNAME: Michelina 
ID: tud1219  COLLEGE: dit  SURNAME: Bruen   	FIRSTNAME: Michelina 
ID: tud1220  COLLEGE: itt  SURNAME: Burkey  	FIRSTNAME: Russell 
ID: tud1221  COLLEGE: itt  SURNAME: Burkey  	FIRSTNAME: Russell 
ID: tud1222  COLLEGE: itt  SURNAME: Burkey  	FIRSTNAME: Russell 
ID: tud1223  COLLEGE: itt  SURNAME: Burkey  	FIRSTNAME: Russell 
ID: tud1224  COLLEGE: itt  SURNAME: Burkey  	FIRSTNAME: Russell 
ID: tud1225  COLLEGE: dit  SURNAME: Burleson 	FIRSTNAME: Tod 
ID: tud1226  COLLEGE: dit  SURNAME: Burleson 	FIRSTNAME: Tod 
ID: tud1227  COLLEGE: dit  SURNAME: Burleson 	FIRSTNAME: Tod 
ID: tud1228  COLLEGE: dit  SURNAME: Burleson 	FIRSTNAME: Tod 
ID: tud1229  COLLEGE: dit  SURNAME: Burleson 	FIRSTNAME: Tod 
ID: tud1230  COLLEGE: itt  SURNAME: Caine   	FIRSTNAME: Breann 
ID: tud1231  COLLEGE: itt  SURNAME: Caine   	FIRSTNAME: Breann 
ID: tud1232  COLLEGE: itt  SURNAME: Caine   	FIRSTNAME: Breann 
ID: tud1233  COLLEGE: itt  SURNAME: Caine   	FIRSTNAME: Breann 
ID: tud1234  COLLEGE: itt  SURNAME: Caine   	FIRSTNAME: Breann 
ID: tud1235  COLLEGE: dit  SURNAME: Caruso  	FIRSTNAME: Libbie 
ID: tud1236  COLLEGE: dit  SURNAME: Caruso  	FIRSTNAME: Libbie 
ID: tud1237  COLLEGE: dit  SURNAME: Caruso  	FIRSTNAME: Libbie 
ID: tud1238  COLLEGE: dit  SURNAME: Caruso  	FIRSTNAME: Libbie 
ID: tud1239  COLLEGE: dit  SURNAME: Caruso  	FIRSTNAME: Libbie 
ID: tud1240  COLLEGE: itt  SURNAME: Champagne 	FIRSTNAME: Cari 
ID: tud1241  COLLEGE: itt  SURNAME: Champagne 	FIRSTNAME: Cari 
ID: tud1242  COLLEGE: itt  SURNAME: Champagne 	FIRSTNAME: Cari 
ID: tud1243  COLLEGE: itt  SURNAME: Champagne 	FIRSTNAME: Cari 
ID: tud1244  COLLEGE: itt  SURNAME: Champagne 	FIRSTNAME: Cari 
ID: tud1245  COLLEGE: dit  SURNAME: Cheek   	FIRSTNAME: Lucien 
ID: tud1246  COLLEGE: dit  SURNAME: Cheek   	FIRSTNAME: Lucien 
ID: tud1247  COLLEGE: dit  SURNAME: Cheek   	FIRSTNAME: Lucien 
ID: tud1248  COLLEGE: dit  SURNAME: Cheek   	FIRSTNAME: Lucien 
ID: tud1249  COLLEGE: dit  SURNAME: Cheek   	FIRSTNAME: Lucien 
ID: tud1250  COLLEGE: itb  SURNAME: Child   	FIRSTNAME: Chelsea 
ID: tud1251  COLLEGE: itb  SURNAME: Child   	FIRSTNAME: Chelsea 
ID: tud1252  COLLEGE: itb  SURNAME: Child   	FIRSTNAME: Chelsea 
ID: tud1253  COLLEGE: itb  SURNAME: Child   	FIRSTNAME: Chelsea 
ID: tud1254  COLLEGE: itb  SURNAME: Child   	FIRSTNAME: Chelsea 
ID: tud1255  COLLEGE: itt  SURNAME: Christensen 	FIRSTNAME: Sandie 
ID: tud1256  COLLEGE: itt  SURNAME: Christensen 	FIRSTNAME: Sandie 
ID: tud1257  COLLEGE: itt  SURNAME: Christensen 	FIRSTNAME: Sandie 
ID: tud1258  COLLEGE: itt  SURNAME: Christensen 	FIRSTNAME: Sandie 
ID: tud1259  COLLEGE: itt  SURNAME: Christensen 	FIRSTNAME: Sandie 
ID: tud1260  COLLEGE: dit  SURNAME: Christmas 	FIRSTNAME: Linda 
ID: tud1261  COLLEGE: dit  SURNAME: Christmas 	FIRSTNAME: Linda 
ID: tud1262  COLLEGE: dit  SURNAME: Christmas 	FIRSTNAME: Linda 
ID: tud1263  COLLEGE: dit  SURNAME: Christmas 	FIRSTNAME: Linda 
ID: tud1264  COLLEGE: dit  SURNAME: Christmas 	FIRSTNAME: Linda 
ID: tud1265  COLLEGE: dit  SURNAME: Cipriani 	FIRSTNAME: Herminia 
ID: tud1266  COLLEGE: dit  SURNAME: Cipriani 	FIRSTNAME: Herminia 
ID: tud1267  COLLEGE: dit  SURNAME: Cipriani 	FIRSTNAME: Herminia 
ID: tud1268  COLLEGE: dit  SURNAME: Cipriani 	FIRSTNAME: Herminia 
ID: tud1269  COLLEGE: dit  SURNAME: Cipriani 	FIRSTNAME: Herminia 
ID: tud1270  COLLEGE: dit  SURNAME: Clapham 	FIRSTNAME: Tina 
ID: tud1271  COLLEGE: dit  SURNAME: Clapham 	FIRSTNAME: Tina 
ID: tud1272  COLLEGE: dit  SURNAME: Clapham 	FIRSTNAME: Tina 
ID: tud1273  COLLEGE: dit  SURNAME: Clapham 	FIRSTNAME: Tina 
ID: tud1274  COLLEGE: dit  SURNAME: Clapham 	FIRSTNAME: Tina 
ID: tud1275  COLLEGE: dit  SURNAME: Claude  	FIRSTNAME: Octavia 
ID: tud1276  COLLEGE: dit  SURNAME: Claude  	FIRSTNAME: Octavia 
ID: tud1277  COLLEGE: dit  SURNAME: Claude  	FIRSTNAME: Octavia 
ID: tud1278  COLLEGE: dit  SURNAME: Claude  	FIRSTNAME: Octavia 
ID: tud1279  COLLEGE: dit  SURNAME: Claude  	FIRSTNAME: Octavia 
ID: tud1280  COLLEGE: dit  SURNAME: Clinton 	FIRSTNAME: Fairy 
ID: tud1281  COLLEGE: dit  SURNAME: Clinton 	FIRSTNAME: Fairy 
ID: tud1282  COLLEGE: dit  SURNAME: Clinton 	FIRSTNAME: Fairy 
ID: tud1283  COLLEGE: dit  SURNAME: Clinton 	FIRSTNAME: Fairy 
ID: tud1284  COLLEGE: dit  SURNAME: Clinton 	FIRSTNAME: Fairy 
ID: tud1285  COLLEGE: itt  SURNAME: Cloer   	FIRSTNAME: Anitra 
ID: tud1286  COLLEGE: itt  SURNAME: Cloer   	FIRSTNAME: Anitra 
ID: tud1287  COLLEGE: itt  SURNAME: Cloer   	FIRSTNAME: Anitra 
ID: tud1288  COLLEGE: itt  SURNAME: Cloer   	FIRSTNAME: Anitra 
ID: tud1289  COLLEGE: itt  SURNAME: Cloer   	FIRSTNAME: Anitra 
ID: tud1290  COLLEGE: itt  SURNAME: Cobb    	FIRSTNAME: Cuc 
ID: tud1291  COLLEGE: itt  SURNAME: Cobb    	FIRSTNAME: Cuc 
ID: tud1292  COLLEGE: itt  SURNAME: Cobb    	FIRSTNAME: Cuc 
ID: tud1293  COLLEGE: itt  SURNAME: Cobb    	FIRSTNAME: Cuc 
ID: tud1294  COLLEGE: itt  SURNAME: Cobb    	FIRSTNAME: Cuc 
ID: tud1295  COLLEGE: itt  SURNAME: Coffee  	FIRSTNAME: Patti 
ID: tud1296  COLLEGE: itt  SURNAME: Coffee  	FIRSTNAME: Patti 
ID: tud1297  COLLEGE: itt  SURNAME: Coffee  	FIRSTNAME: Patti 
ID: tud1298  COLLEGE: itt  SURNAME: Coffee  	FIRSTNAME: Patti 
ID: tud1299  COLLEGE: itt  SURNAME: Coffee  	FIRSTNAME: Patti 
ID: tud1300  COLLEGE: itt  SURNAME: Colter  	FIRSTNAME: Millie 
ID: tud1301  COLLEGE: itt  SURNAME: Colter  	FIRSTNAME: Millie 
ID: tud1302  COLLEGE: itt  SURNAME: Colter  	FIRSTNAME: Millie 
ID: tud1303  COLLEGE: itt  SURNAME: Colter  	FIRSTNAME: Millie 
ID: tud1304  COLLEGE: itt  SURNAME: Colter  	FIRSTNAME: Millie 
ID: tud1305  COLLEGE: itt  SURNAME: Coltrane 	FIRSTNAME: Jodee 
ID: tud1306  COLLEGE: itt  SURNAME: Coltrane 	FIRSTNAME: Jodee 
ID: tud1307  COLLEGE: itt  SURNAME: Coltrane 	FIRSTNAME: Jodee 
ID: tud1308  COLLEGE: itt  SURNAME: Coltrane 	FIRSTNAME: Jodee 
ID: tud1309  COLLEGE: itt  SURNAME: Coltrane 	FIRSTNAME: Jodee 
ID: tud1310  COLLEGE: dit  SURNAME: Cortes  	FIRSTNAME: Blossom 
ID: tud1311  COLLEGE: dit  SURNAME: Cortes  	FIRSTNAME: Blossom 
ID: tud1312  COLLEGE: dit  SURNAME: Cortes  	FIRSTNAME: Blossom 
ID: tud1313  COLLEGE: dit  SURNAME: Cortes  	FIRSTNAME: Blossom 
ID: tud1314  COLLEGE: dit  SURNAME: Cortes  	FIRSTNAME: Blossom 
ID: tud1315  COLLEGE: itb  SURNAME: Councill 	FIRSTNAME: Cassy 
ID: tud1316  COLLEGE: itb  SURNAME: Councill 	FIRSTNAME: Cassy 
ID: tud1317  COLLEGE: itb  SURNAME: Councill 	FIRSTNAME: Cassy 
ID: tud1318  COLLEGE: itb  SURNAME: Councill 	FIRSTNAME: Cassy 
ID: tud1319  COLLEGE: itb  SURNAME: Councill 	FIRSTNAME: Cassy 
ID: tud1320  COLLEGE: itb  SURNAME: Cullens 	FIRSTNAME: Clemencia 
ID: tud1321  COLLEGE: itb  SURNAME: Cullens 	FIRSTNAME: Clemencia 
ID: tud1322  COLLEGE: itb  SURNAME: Cullens 	FIRSTNAME: Clemencia 
ID: tud1323  COLLEGE: itb  SURNAME: Cullens 	FIRSTNAME: Clemencia 
ID: tud1324  COLLEGE: itb  SURNAME: Cullens 	FIRSTNAME: Clemencia 
ID: tud1325  COLLEGE: itb  SURNAME: Czech   	FIRSTNAME: Ceola 
ID: tud1326  COLLEGE: itb  SURNAME: Czech   	FIRSTNAME: Ceola 
ID: tud1327  COLLEGE: itb  SURNAME: Czech   	FIRSTNAME: Ceola 
ID: tud1328  COLLEGE: itb  SURNAME: Czech   	FIRSTNAME: Ceola 
ID: tud1329  COLLEGE: itb  SURNAME: Czech   	FIRSTNAME: Ceola 
ID: tud1330  COLLEGE: dit  SURNAME: Daffron 	FIRSTNAME: Bonnie 
ID: tud1331  COLLEGE: dit  SURNAME: Daffron 	FIRSTNAME: Bonnie 
ID: tud1332  COLLEGE: dit  SURNAME: Daffron 	FIRSTNAME: Bonnie 
ID: tud1333  COLLEGE: dit  SURNAME: Daffron 	FIRSTNAME: Bonnie 
ID: tud1334  COLLEGE: dit  SURNAME: Daffron 	FIRSTNAME: Bonnie 
ID: tud1335  COLLEGE: dit  SURNAME: Darr    	FIRSTNAME: Tobias 
ID: tud1336  COLLEGE: dit  SURNAME: Darr    	FIRSTNAME: Tobias 
ID: tud1337  COLLEGE: dit  SURNAME: Darr    	FIRSTNAME: Tobias 
ID: tud1338  COLLEGE: dit  SURNAME: Darr    	FIRSTNAME: Tobias 
ID: tud1339  COLLEGE: dit  SURNAME: Darr    	FIRSTNAME: Tobias 
ID: tud1340  COLLEGE: dit  SURNAME: Deakins 	FIRSTNAME: Ayanna 
ID: tud1341  COLLEGE: dit  SURNAME: Deakins 	FIRSTNAME: Ayanna 
ID: tud1342  COLLEGE: dit  SURNAME: Deakins 	FIRSTNAME: Ayanna 
ID: tud1343  COLLEGE: dit  SURNAME: Deakins 	FIRSTNAME: Ayanna 
ID: tud1344  COLLEGE: dit  SURNAME: Deakins 	FIRSTNAME: Ayanna 
ID: tud1345  COLLEGE: itb  SURNAME: Dear    	FIRSTNAME: Darrick 
ID: tud1346  COLLEGE: itb  SURNAME: Dear    	FIRSTNAME: Darrick 
ID: tud1347  COLLEGE: itb  SURNAME: Dear    	FIRSTNAME: Darrick 
ID: tud1348  COLLEGE: itb  SURNAME: Dear    	FIRSTNAME: Darrick 
ID: tud1349  COLLEGE: itb  SURNAME: Dear    	FIRSTNAME: Darrick 
ID: tud1350  COLLEGE: dit  SURNAME: Dossett 	FIRSTNAME: Charise 
ID: tud1351  COLLEGE: dit  SURNAME: Dossett 	FIRSTNAME: Charise 
ID: tud1352  COLLEGE: dit  SURNAME: Dossett 	FIRSTNAME: Charise 
ID: tud1353  COLLEGE: dit  SURNAME: Dossett 	FIRSTNAME: Charise 
ID: tud1354  COLLEGE: dit  SURNAME: Dossett 	FIRSTNAME: Charise 
ID: tud1355  COLLEGE: dit  SURNAME: Dow     	FIRSTNAME: Brittny 
ID: tud1356  COLLEGE: dit  SURNAME: Dow     	FIRSTNAME: Brittny 
ID: tud1357  COLLEGE: dit  SURNAME: Dow     	FIRSTNAME: Brittny 
ID: tud1358  COLLEGE: dit  SURNAME: Dow     	FIRSTNAME: Brittny 
ID: tud1359  COLLEGE: dit  SURNAME: Dow     	FIRSTNAME: Brittny 
ID: tud1360  COLLEGE: itb  SURNAME: Dunbar  	FIRSTNAME: Darby 
ID: tud1361  COLLEGE: itb  SURNAME: Dunbar  	FIRSTNAME: Darby 
ID: tud1362  COLLEGE: itb  SURNAME: Dunbar  	FIRSTNAME: Darby 
ID: tud1363  COLLEGE: itb  SURNAME: Dunbar  	FIRSTNAME: Darby 
ID: tud1364  COLLEGE: itb  SURNAME: Dunbar  	FIRSTNAME: Darby 
ID: tud1365  COLLEGE: dit  SURNAME: Eckhoff 	FIRSTNAME: Bettie 
ID: tud1366  COLLEGE: dit  SURNAME: Eckhoff 	FIRSTNAME: Bettie 
ID: tud1367  COLLEGE: dit  SURNAME: Eckhoff 	FIRSTNAME: Bettie 
ID: tud1368  COLLEGE: dit  SURNAME: Eckhoff 	FIRSTNAME: Bettie 
ID: tud1369  COLLEGE: dit  SURNAME: Eckhoff 	FIRSTNAME: Bettie 
ID: tud1370  COLLEGE: dit  SURNAME: Eilers  	FIRSTNAME: Kristina 
ID: tud1371  COLLEGE: dit  SURNAME: Eilers  	FIRSTNAME: Kristina 
ID: tud1372  COLLEGE: dit  SURNAME: Eilers  	FIRSTNAME: Kristina 
ID: tud1373  COLLEGE: dit  SURNAME: Eilers  	FIRSTNAME: Kristina 
ID: tud1374  COLLEGE: dit  SURNAME: Eilers  	FIRSTNAME: Kristina 
ID: tud1375  COLLEGE: itb  SURNAME: Elamin  	FIRSTNAME: Eilene 
ID: tud1376  COLLEGE: itb  SURNAME: Elamin  	FIRSTNAME: Eilene 
ID: tud1377  COLLEGE: itb  SURNAME: Elamin  	FIRSTNAME: Eilene 
ID: tud1378  COLLEGE: itb  SURNAME: Elamin  	FIRSTNAME: Eilene 
ID: tud1379  COLLEGE: itb  SURNAME: Elamin  	FIRSTNAME: Eilene 
ID: tud1380  COLLEGE: itb  SURNAME: Ellingsworth 	FIRSTNAME: Edgar 
ID: tud1381  COLLEGE: itb  SURNAME: Ellingsworth 	FIRSTNAME: Edgar 
ID: tud1382  COLLEGE: itb  SURNAME: Ellingsworth 	FIRSTNAME: Edgar 
ID: tud1383  COLLEGE: itb  SURNAME: Ellingsworth 	FIRSTNAME: Edgar 
ID: tud1384  COLLEGE: itb  SURNAME: Ellingsworth 	FIRSTNAME: Edgar 
ID: tud1385  COLLEGE: dit  SURNAME: Engh    	FIRSTNAME: Angelyn 
ID: tud1386  COLLEGE: dit  SURNAME: Engh    	FIRSTNAME: Angelyn 
ID: tud1387  COLLEGE: dit  SURNAME: Engh    	FIRSTNAME: Angelyn 
ID: tud1388  COLLEGE: dit  SURNAME: Engh    	FIRSTNAME: Angelyn 
ID: tud1389  COLLEGE: dit  SURNAME: Engh    	FIRSTNAME: Angelyn 
ID: tud1390  COLLEGE: dit  SURNAME: Erixon  	FIRSTNAME: Gilberto 
ID: tud1391  COLLEGE: dit  SURNAME: Erixon  	FIRSTNAME: Gilberto 
ID: tud1392  COLLEGE: dit  SURNAME: Erixon  	FIRSTNAME: Gilberto 
ID: tud1393  COLLEGE: dit  SURNAME: Erixon  	FIRSTNAME: Gilberto 
ID: tud1394  COLLEGE: dit  SURNAME: Erixon  	FIRSTNAME: Gilberto 
ID: tud1395  COLLEGE: itt  SURNAME: Eshleman 	FIRSTNAME: Tom 
ID: tud1396  COLLEGE: itt  SURNAME: Eshleman 	FIRSTNAME: Tom 
ID: tud1397  COLLEGE: itt  SURNAME: Eshleman 	FIRSTNAME: Tom 
ID: tud1398  COLLEGE: itt  SURNAME: Eshleman 	FIRSTNAME: Tom 
ID: tud1399  COLLEGE: itt  SURNAME: Eshleman 	FIRSTNAME: Tom 
ID: tud1400  COLLEGE: itt  SURNAME: Estey   	FIRSTNAME: Alecia 
ID: tud1401  COLLEGE: itt  SURNAME: Estey   	FIRSTNAME: Alecia 
ID: tud1402  COLLEGE: itt  SURNAME: Estey   	FIRSTNAME: Alecia 
ID: tud1403  COLLEGE: itt  SURNAME: Estey   	FIRSTNAME: Alecia 
ID: tud1404  COLLEGE: itt  SURNAME: Estey   	FIRSTNAME: Alecia 
ID: tud1405  COLLEGE: itb  SURNAME: Faehnle 	FIRSTNAME: Rex 
ID: tud1406  COLLEGE: itb  SURNAME: Faehnle 	FIRSTNAME: Rex 
ID: tud1407  COLLEGE: itb  SURNAME: Faehnle 	FIRSTNAME: Rex 
ID: tud1408  COLLEGE: itb  SURNAME: Faehnle 	FIRSTNAME: Rex 
ID: tud1409  COLLEGE: itb  SURNAME: Faehnle 	FIRSTNAME: Rex 
ID: tud1410  COLLEGE: dit  SURNAME: Farah   	FIRSTNAME: Bart 
